mouth open,eyes squinting,furry,scary,excited,spotted,stoic,whiskers,x,y,image_filename
0.09550915,0.15660366,0.17950425,0.13925853,0.15724301,0.23255584,0.16650781,0.15104741,8.873755,10.938181,animal-0.jpg
0.120800614,0.12607908,0.19496402,0.14123192,0.13075556,0.22322737,0.18679963,0.1288656,10.507815,11.590314,animal-1.jpg
0.1340753,0.18147196,0.22174063,0.18786705,0.15340252,0.21102753,0.17675282,0.17740177,8.114822,6.0192413,animal-2.jpg
0.1263364,0.23182729,0.20276603,0.16654715,0.1376209,0.1759268,0.1633307,0.21190621,-5.64011,10.453107,animal-3.jpg
0.13095158,0.20676666,0.21151276,0.18465437,0.13644046,0.2090295,0.17041248,0.2513288,-6.0497956,9.276078,animal-4.jpg
0.17088577,0.20055428,0.22540501,0.14988312,0.14308864,0.17464301,0.18274221,0.2541996,-4.222794,9.036444,animal-5.jpg
0.122268684,0.18119839,0.2320048,0.17709635,0.14642444,0.1952873,0.19757971,0.2294149,-4.084114,9.52465,animal-6.jpg
0.12709095,0.19261825,0.21306416,0.1529769,0.15035252,0.21226078,0.18343654,0.24314927,-4.222461,9.978907,animal-7.jpg
0.16739751,0.22314873,0.17764282,0.20074949,0.19818537,0.24304599,0.18101642,0.17644966,1.1362585,6.368385,animal-8.jpg
0.12507257,0.1916904,0.22449064,0.14741679,0.1637783,0.19011575,0.1948658,0.24691391,-3.7405708,9.92985,animal-9.jpg
0.11731446,0.20441213,0.17800924,0.15336427,0.16960913,0.2286915,0.19084427,0.22730051,-2.6297753,10.779319,animal-10.jpg
0.15733042,0.17492183,0.24242848,0.19769622,0.16662264,0.18590969,0.18188637,0.17769891,9.703405,6.759208,animal-11.jpg
0.117151774,0.21528715,0.201885,0.17562784,0.14540377,0.2155266,0.16415924,0.25590983,-6.321669,9.524918,animal-12.jpg
0.1249228,0.17839648,0.19849253,0.14894134,0.1500366,0.21215606,0.17255333,0.18545397,8.381273,10.211405,animal-13.jpg
0.108321965,0.2052201,0.21717346,0.15950593,0.1345324,0.18872136,0.17796126,0.24193995,-5.073296,10.753417,animal-14.jpg
0.10349503,0.20197454,0.1753782,0.15200847,0.17668812,0.20419946,0.18548338,0.22715938,-2.7044108,10.91538,animal-15.jpg
0.18194719,0.17678237,0.20563772,0.19521645,0.16876957,0.19149317,0.16663954,0.15032212,10.281537,6.3604865,animal-16.jpg
0.14393067,0.18208647,0.22547784,0.17204037,0.14157882,0.18705034,0.17125332,0.17085919,8.5638685,7.1659274,animal-17.jpg
0.1515285,0.22343591,0.2357752,0.18091553,0.120189965,0.20620312,0.21123388,0.24641816,-5.13439,8.489723,animal-18.jpg
0.12254277,0.18633425,0.24178809,0.15143996,0.1330455,0.17609543,0.18937224,0.14063545,9.037984,8.438509,animal-19.jpg
0.12609357,0.23088613,0.21400854,0.17423853,0.13993438,0.21395883,0.1799011,0.24693364,-6.138542,9.155421,animal-20.jpg
0.13195534,0.21917605,0.21851711,0.16504599,0.1467784,0.23531902,0.21165371,0.23599787,-4.632198,8.564909,animal-21.jpg
0.11910796,0.15350409,0.24067622,0.16554895,0.13700113,0.2075729,0.17262493,0.16625306,7.162533,7.996455,animal-22.jpg
0.1123828,0.14832452,0.23588589,0.14373623,0.14365679,0.21738687,0.22748914,0.19436833,9.762642,8.790988,animal-23.jpg
0.14804113,0.19874942,0.20230776,0.1984696,0.17847583,0.20496707,0.1993826,0.20167296,0.9494779,6.9531326,animal-24.jpg
0.12792754,0.22045079,0.20023945,0.1858894,0.17121324,0.25335526,0.19536392,0.1847883,1.5953872,7.039715,animal-25.jpg
0.09933847,0.14014621,0.19443378,0.12918866,0.11191424,0.20028368,0.19081329,0.1475155,10.289821,11.399787,animal-26.jpg
0.12336973,0.1998894,0.2283158,0.17764133,0.13016602,0.19286896,0.21270496,0.24579036,-4.419701,9.049478,animal-27.jpg
0.14277089,0.21494237,0.18305649,0.19716543,0.17585401,0.22354898,0.19877473,0.19828597,1.1007843,6.8202815,animal-28.jpg
0.14190397,0.16346368,0.228179,0.17035177,0.14296472,0.19695461,0.205934,0.15448834,9.566822,8.166056,animal-29.jpg
0.12444897,0.21122164,0.21622777,0.2121078,0.12985103,0.20513728,0.1587289,0.24134503,-5.3779464,9.398134,animal-30.jpg
0.1353313,0.12807629,0.19427404,0.14782557,0.15951057,0.2031019,0.20110974,0.12080076,10.590749,11.051398,animal-31.jpg
0.115369424,0.18141821,0.21891329,0.15265596,0.16744182,0.20733823,0.18665832,0.22566082,-3.5255256,10.28221,animal-32.jpg
0.16769306,0.17820662,0.2228675,0.17405798,0.15270278,0.18502325,0.19768614,0.15747689,9.803767,7.335645,animal-33.jpg
0.11220363,0.20519648,0.22108148,0.1803474,0.14094621,0.19858806,0.16661215,0.24155098,-5.2242484,10.007357,animal-34.jpg
0.123811185,0.21329603,0.2477893,0.20672828,0.15276256,0.19999006,0.19774167,0.2614637,-5.225301,8.788695,animal-35.jpg
0.15600823,0.16313134,0.19743924,0.16474406,0.15074548,0.19719175,0.19076732,0.14053829,10.604395,8.181868,animal-36.jpg
0.13789912,0.21964054,0.24480185,0.22289816,0.13184479,0.19061105,0.18003997,0.24924009,-5.272263,9.094867,animal-37.jpg
0.15182741,0.17030731,0.21982107,0.16771415,0.14340234,0.1995132,0.18363988,0.1516526,9.400152,7.5387783,animal-38.jpg
0.13668284,0.14626065,0.21386302,0.16119915,0.14275084,0.20619628,0.20246041,0.14696538,10.120862,9.373195,animal-39.jpg
0.121518195,0.17389426,0.2228095,0.16477087,0.12996982,0.19792989,0.16664974,0.1653506,7.5316443,7.390611,animal-40.jpg
0.11699127,0.21982507,0.21319282,0.1630638,0.15255482,0.21404618,0.1633367,0.25241843,-6.40861,9.767073,animal-41.jpg
0.108642206,0.18718964,0.18544164,0.1450898,0.13686039,0.20082244,0.15328103,0.20725754,-4.672031,11.908854,animal-42.jpg
0.12609193,0.19808652,0.24931237,0.18824719,0.1434861,0.20039982,0.19178179,0.19666171,5.5765586,8.1992655,animal-43.jpg
0.10139438,0.19963455,0.21436659,0.16010378,0.13047668,0.20583893,0.17625962,0.23812568,-5.209398,10.947011,animal-44.jpg
0.123031095,0.22392264,0.23040889,0.18312654,0.13296995,0.20053253,0.16486259,0.26671588,-6.090364,8.877315,animal-45.jpg
0.11635576,0.17459583,0.16843748,0.13848206,0.13979976,0.22738433,0.16849735,0.13319772,9.416642,11.582686,animal-46.jpg
0.100614436,0.1982067,0.21452293,0.1666553,0.13392574,0.20019118,0.1845358,0.24871065,-5.17034,10.795369,animal-47.jpg
0.10380455,0.18384041,0.1913409,0.15049031,0.1558705,0.2043425,0.16525896,0.20681712,-4.273065,11.804137,animal-48.jpg
0.14737621,0.1991252,0.21785411,0.19275665,0.14250483,0.20294398,0.18295047,0.17957646,8.466613,5.485107,animal-49.jpg
0.096816525,0.2134671,0.22125708,0.13634747,0.12919843,0.17570594,0.16615885,0.25216076,-5.514833,10.882683,animal-50.jpg
0.15970488,0.19998795,0.22364403,0.1793521,0.1466529,0.1990065,0.1928975,0.23116776,-4.465644,8.797165,animal-51.jpg
0.115259245,0.19397922,0.20640612,0.16175036,0.13193099,0.19111627,0.17654204,0.23618625,-5.1250987,10.830508,animal-52.jpg
0.14424838,0.17242101,0.2042748,0.19247073,0.13690561,0.19670668,0.1840331,0.15996021,8.24917,6.442735,animal-53.jpg
0.14538823,0.1506554,0.19308043,0.1584137,0.13536385,0.19625962,0.17675826,0.11660082,10.249211,10.476318,animal-54.jpg
0.1164666,0.14722577,0.18259525,0.14036933,0.14870304,0.21303889,0.19112135,0.14870688,9.525675,11.126597,animal-55.jpg
0.1332069,0.15033343,0.20110826,0.14811394,0.15979552,0.21238184,0.17453712,0.14244145,9.249712,10.515716,animal-56.jpg
0.11740344,0.20844212,0.21315819,0.15906587,0.14212143,0.2142452,0.18068308,0.24821146,-5.2305837,9.96248,animal-57.jpg
0.19077896,0.17659307,0.23444681,0.19633782,0.16112852,0.1670284,0.18241775,0.1565215,10.311569,6.5177855,animal-58.jpg
0.13275144,0.17407145,0.21660481,0.15924129,0.14529707,0.23206288,0.18612137,0.11815578,10.325098,8.871692,animal-59.jpg
0.13657488,0.1596352,0.21407512,0.16221988,0.15763032,0.18695801,0.20168525,0.14161125,9.993715,8.898504,animal-60.jpg
0.13537887,0.13665739,0.19916545,0.16265175,0.19220029,0.22011259,0.20130414,0.13129452,10.181675,9.813502,animal-61.jpg
0.1425468,0.16196138,0.22715518,0.14863919,0.14112118,0.19410044,0.21421066,0.13945574,10.1471405,8.735532,animal-62.jpg
0.13265584,0.19508247,0.24959876,0.17683482,0.1317886,0.20150317,0.16550267,0.27269652,-5.8203773,9.092009,animal-63.jpg
0.118643135,0.17672667,0.27323282,0.19155706,0.15570113,0.20581087,0.18494013,0.19554946,5.373394,8.681656,animal-64.jpg
0.1644976,0.23763213,0.24117476,0.19983938,0.14325535,0.21212886,0.19569446,0.2827811,-5.7497835,8.445253,animal-65.jpg
0.1904256,0.21880515,0.20857021,0.20843814,0.17563641,0.22351444,0.19217685,0.20615306,1.085333,7.048452,animal-66.jpg
0.1691427,0.15089521,0.23039529,0.15923505,0.186881,0.17465296,0.17171267,0.13210413,10.921816,7.117837,animal-67.jpg
0.09565285,0.18578686,0.20985518,0.16710123,0.15936938,0.21614075,0.16674966,0.23701584,-4.4659038,11.304731,animal-68.jpg
0.14817035,0.23528764,0.2309824,0.16502869,0.13174888,0.19304717,0.20914906,0.24106151,-5.2544637,8.326741,animal-69.jpg
0.12486203,0.21236095,0.2282109,0.14208512,0.12969142,0.17736433,0.18853922,0.25316513,-4.8733597,9.952439,animal-70.jpg
0.12209334,0.18478173,0.26792943,0.19258156,0.15763274,0.20778348,0.1935375,0.20323575,5.3228703,8.658506,animal-71.jpg
